cmd_61728e47275200.21078684,1634897479,0,toto,tom,ngr,"44 rut gfdfgd 69000 lyon",bidule@tretre.gf,"01 23 45 67 89",PR2,"Bob figure",21.65
cmd_6172a793a92829.19444961,1634903955,0,toto,tom,ngr,"44 rue gfdfgd 69000 lyon",bidule@tretre.gf,"01 23 45 67 89",PR2,"Bob figure",21.65
cmd_6172a8ac540d24.43532018,1634904236,0,toto,tom,ngr,"44 rue gfdfgd 69000 lyon",bidule@tretre.gf,"01 23 45 67 89",PR2,"Bob figure",21.65
cmd_6172a9c0215997.83602178,1634904512,0,toto,tom,ngr,"44 rue gfdfgd 69000 lyon",bidule@tretre.gf,"01 23 45 67 89",PR2,"Bob figure",21.65
cmd_6172abbe0792d2.56244304,1634905022,0,toto,tom,ngr,"44 rue gfdfgd 69000 lyon",bidule@tretre.gf,"01 23 45 67 89",PR2,"Bob figure",21.65
cmd_6172ac2e178f60.66781151,1634905134,0,toto,tom,ngr,"44 rue gfdfgd 69000 lyon",bidule@tretre.gf,"01 23 45 67 89",PR2,"Bob figure",21.65
cmd_6172ac99c988d9.22676440,1634905241,0,toto,tom,ngr,"44 rue gfdfgd 69000 lyon",bidule@tretre.gf,"01 23 45 67 89",PR2,"Bob figure",21.65
cmd_6172a8c2cdcc36.63696030,1634904258,-1,toto,tom,ngr,"44 rue gfdfgd 69000 lyon",bidule@tretre.gf,"01 23 45 67 89",PR2,"Bob figure",21.65
cmd_6172b053a2a333.00983560,1634906195,0,fdsfsdfdsfsd,fdsfsd,fdsfsd,"fdsfds 12365 fdsfds",fdfsdfds@fdsfds.gf,0123456789,PR3,"Boy Figure",19.25
cmd_6172b0e5252607.29213865,1634906341,0,rrrrrrrrrrrrrrr,rrrrrrrr,rrrrrrr,"rrrrrrrrrrrr 03215 rrrrrrrrrrr",rrrrrrrr@rrrrrrrr.rr,0123456789,PR1,"Alice Figure",25.36
